province_name,province_code,municipality_name,municipality_code,barangay_name,barangay_code
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,ABILAN,0001
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,AGONG-ONG,0002
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,ALUBIJID,0003
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,GUINABSAN,0004
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,LOWER OLAVE,0005
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,MACALANG,0006
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,MALAPONG,0007
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,MALPOC,0008
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,MANAPA,0009
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,MATABAO,0010
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 1,0011
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 2,0012
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 3,0013
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 4,0014
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 5,0015
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 6,0016
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 7,0017
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 8,0018
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 9,0019
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,POBLACION 10,0020
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,RIZAL,0021
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,SACOL,0022
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,SANGAY,0023
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,SIMBALAN,0024
AGUSAN DEL NORTE,ADN,BUENAVISTA,1000,TALO-AO,0025
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AGAO POB. (BGY. 3),0101
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AGUSAN PEQUEÃ‘O,0102
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AMBAGO,0103
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AMPARO,0104
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AMPAYON,0105
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,ANTICALA,0106
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,ANTONGALON,0107
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,AUPAGAN,0108
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BAAN KM 3,0109
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BAAN RIVERSIDE POB. (BGY. 20),0110
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BABAG,0111
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BADING POB. (BGY. 22),0112
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BANCASI,0113
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BANZA,0114
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BAOBAOAN,0115
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BASAG,0116
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BAYANIHAN POB. (BGY. 27),0117
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BILAY,0118
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BIT-OS,0119
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BITAN-AGAN,0120
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BOBON,0121
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BONBON,0122
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BUGABUS,0123
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BUGSUKAN,0124
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,BUHANGIN POB. (BGY. 19),0125
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,CABCABON,0126
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,CAMAYAHAN,0127
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,DAGOHOY POB. (BGY. 7),0128
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,DANKIAS,0129
AGUSAN DEL NORTE,ADN,BUTUAN CITY,1001,DE ORO,0130
